"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body"
"1155983","","5461","08343491","Member","Ms","Helen","","Rayfield","01/01/2015","","Appointed by academy members"
"1278817","","5461","08343491","Chief Financial Officer","Mr","Harold","","Reid","27/02/2018","","N/A"
"1278837","","5461","08343491","Member","Mr","David","","Tait","28/11/2016","","Appointed by academy members"
"1383315","","5461","08343491","Trustee","Mr","Peter","William Derek","Meerstadt","17/07/2018","16/07/2022","Appointed by GB/board"
"1383320","","5461","08343491","Member","Ms","Amy","","Loveng","17/12/2018","","Appointed by academy members"
"1394822","","5461","08343491","Trustee","Ms","Gillian","","Jones","23/09/2019","22/09/2023","Appointed by GB/board"
"1415656","","5461","08343491","Member","Mr","Thomas","Dietrich","Adcock","16/12/2019","","Appointed by academy members"
"1431275","","5461","08343491","Member","Mr","Daniel","","Rose","03/03/2020","","Appointed by academy members"
"1522553","","5461","08343491","Trustee","Mr","Thomas","Dietrich","Adcock","24/03/2021","23/03/2025","Appointed by academy members"
"1522556","","5461","08343491","Trustee","Mr","Kurt","","Ma","24/03/2021","23/03/2025","Appointed by academy members"
"1522560","","5461","08343491","Chair of Trustees","Mr","David","","Tait","24/03/2021","23/03/2025","Appointed by academy members"
"1544426","","5461","08343491","Trustee","Dr","Sara","Penelope","Barratt","23/09/2021","22/09/2025","Appointed by GB/board"
"1566452","","5461","08343491","Trustee","Ms","Marisa","","Reventos","09/12/2021","08/12/2025","Appointed by GB/board"
"1605900","","5461","08343491","Trustee","Mr","Peter","William Derek","Meerstadt","17/07/2022","16/07/2026","Appointed by GB/board"
"1208117","","5470","09297519","Trustee","Mr","Christopher","","Cole","26/11/2015","24/11/2023","Original (signatory) members"
"1208144","","5470","09297519","Member","Ms","Christina","Ann","Constanti","05/11/2014","","Original (signatory) members"
"1371343","","5470","09297519","Trustee","Ms","Samantha","","Curtis","12/03/2019","11/03/2023","Original (signatory) members"
"1396066","","5470","09297519","Chief Financial Officer","Mr","Ricky","","Barton","01/09/2019","","N/A"
"1400413","","5470","09297519","Trustee","Mr","Hugh","Colin Alexander","Sarre","29/10/2019","28/10/2023","Original (signatory) members"
"1400414","","5470","09297519","Trustee","Mrs","Hwee Ching","","Neo","29/10/2019","18/11/2021","Original (signatory) members"
"1400418","","5470","09297519","Trustee","Mr","William","Leonard Thomas","Leask","29/10/2019","28/10/2023","Original (signatory) members"
"1400420","","5470","09297519","Trustee","Ms","Holly","","Morgan-Smith","29/10/2019","28/10/2023","Original (signatory) members"
"1400423","","5470","09297519","Member","Mr","Ilker","Hasan","Yoney","29/10/2019","","Original (signatory) members"
"1482265","","5470","09297519","Chair of Trustees","Mr","Christopher","","Cole","27/09/2021","27/09/2022","Appointed by GB/board"
"1524622","","5470","09297519","Member","Mr","James","","Sanderson","13/05/2021","","Appointed by academy members"
"1537047","","5470","09297519","Accounting Officer","Ms","Amanda","","Daoud","01/09/2021","31/03/2022","N/A"
"1560095","","5470","09297519","Trustee","Dr","Markos","","Koumaditis","18/11/2021","18/11/2025","Appointed by GB/board"
"1590636","","5470","09297519","Accounting Officer","Ms","Kirsten","","Jowett","01/04/2022","","N/A"
"1613625","","5470","09297519","Trustee","Ms","Amanda","","Jennings","12/09/2022","11/09/2026","Appointed by academy members"
"1618672","","5470","09297519","Chair of Trustees","Mr","Christopher","","Cole","26/09/2022","25/09/2023","Appointed by GB/board"
"1007277","","5471","09207180","Accounting Officer","Mr","Matthew","","Cave","05/09/2018","","N/A"
"1299359","","5471","09207180","Trustee","","Elizabeth","","Newman","13/03/2018","12/03/2026","Appointed by foundation/Trust"
"1366745","","5471","09207180","Trustee","Mrs","Carys","","Taylor-Evans","09/10/2018","08/10/2022","Appointed by academy members"
"1384975","","5471","09207180","Member","Mr","Jerry","","Woods","27/12/2014","","Appointed by academy members"
"1384978","","5471","09207180","Member","Ms","Dianne","","Evans","13/10/2016","","Appointed by academy members"
"1384982","","5471","09207180","Member","Ms","Patricia","","Triggs","27/12/2014","","Appointed by academy members"
"1521541","","5471","09207180","Trustee","Mr","Andrew","","Jenkins","11/03/2021","10/03/2025","Appointed by foundation/Trust"
"1521543","","5471","09207180","Trustee","Mr","David","","Gascoigne","13/10/2016","12/10/2024","Appointed by foundation/Trust"
"1532572","","5471","09207180","Chair of Trustees","Mrs","Patricia","","Triggs","01/01/2015","12/03/2026","Appointed by academy members"
"1536459","","5471","09207180","Chief Financial Officer","Mrs","Rachel","","Barfoot","03/09/2021","","N/A"
"1138334","","5473","09334026","Accounting Officer","Mrs","Nicola","","Partridge","01/01/2016","25/04/2022","N/A"
"1144442","","5473","09334026","Member","Mrs","Gloria","","Walker","01/12/2014","","Original (signatory) members"
"1144451","","5473","09334026","Member","Mrs","Venetia","","Mayman","01/12/2014","","Original (signatory) members"
"1144456","","5473","09334026","Chief Financial Officer","Mrs","Brenda","","Mundy","01/12/2014","","N/A"
"1296154","","5473","09334026","Member","Mr","Andrew","","Creese","11/04/2018","","Appointed by academy members"
"1491480","","5473","09334026","Trustee","Mr","Hayden","","Davies","11/12/2020","10/12/2024","Appointed by GB/board"
"1498470","","5473","09334026","Trustee","Mr","Nathaniel","","Spring","15/01/2021","14/01/2025","Appointed by GB/board"
"1498473","","5473","09334026","Trustee","Ms","Magda","","Charlton","15/01/2021","14/01/2025","Appointed by GB/board"
"1552961","","5473","09334026","Chair of Trustees","Mr","Hayden","","Davies","19/10/2021","01/12/2024","Appointed by GB/board"
"1558100","","5473","09334026","Trustee","Ms","Lindsey","","Hull","18/10/2021","17/10/2025","Appointed by GB/board"
"1560789","","5473","09334026","Trustee","Ms","Kate","","Elliott","19/11/2021","18/11/2025","Appointed by GB/board"
"1589615","","5473","09334026","Trustee","Mr","Andrew","","Creese","01/04/2022","31/03/2026","Appointed by GB/board"
"1589616","","5473","09334026","Trustee","Ms","Josie","","Scammell","01/04/2022","31/03/2026","Appointed by GB/board"
"1589617","","5473","09334026","Trustee","Ms","Sally","","Caple","01/04/2022","31/03/2026","Appointed by GB/board"
"1591845","","5473","09334026","Accounting Officer","Mrs","Jacqueline","","West","25/04/2022","","N/A"
"1605612","","5473","09334026","Trustee","Mr","Michael","","Ferris","15/07/2022","14/07/2026","Appointed by GB/board"
"1605613","","5473","09334026","Trustee","Reverend","Elisabeth","","Denno","15/07/2022","14/07/2026","Appointed by GB/board"
"1007284","","5476","09341374","Trustee","Mr","Patrick","","Freeman","04/12/2014","03/12/2022","Appointed by academy members"
"1007286","","5476","09341374","Accounting Officer","Mrs","Claire","","Render","01/02/2019","","N/A"
"1007287","","5476","09341374","Member","Bishop","James","","Newcombe","04/12/2014","","Original (signatory) members"
"1007288","","5476","09341374","Trustee","Mr","Martyn","","Rayner","04/12/2014","31/08/2022","Appointed by academy members"
"1007290","","5476","09341374","Member","Mr","Nigel","","Robson","04/12/2014","","Original (signatory) members"
"1007293","","5476","09341374","Member","Mr","Mark","","Wilson","04/12/2014","18/05/2022","Original (signatory) members"
"1007294","","5476","09341374","Trustee","Mrs","Jane","","Clarke","23/06/2015","30/08/2025","Appointed by academy members"
"1055846","","5476","09341374","Chief Financial Officer","Ms","Alison","","Gerke","01/02/2014","","N/A"
"1180034","","5476","09341374","Member","Rev","Andrew","","Towner","28/02/2017","","Original (signatory) members"
"1239775","","5476","09341374","Trustee","Mr","Simon","","Hughes","21/09/2017","31/08/2022","Appointed by academy members"
"1335792","","5476","09341374","Member","The Venerable Dr","Richard","David","Pratt","29/11/2018","23/03/2022","Original (signatory) members"
"1374049","","5476","09341374","Trustee","Mr","Richard","James Agnew","Petty","11/07/2019","10/07/2023","Appointed by academy members"
"1415964","","5476","09341374","Trustee","Dr","Mark","","Chater","12/12/2019","11/12/2023","Appointed by academy members"
"1426502","","5476","09341374","Chair of Trustees","Mrs","Jane","","Clarke","23/01/2020","22/01/2024","Appointed by academy members"
"1426508","","5476","09341374","Member","Mrs","Jane","","Clarke","23/01/2020","","Appointed by academy members"
"1518881","","5476","09341374","Trustee","Mrs","Claire","","Kirkpatrick","25/03/2021","24/03/2025","Appointed by academy members"
"1518884","","5476","09341374","Trustee","Mr","Christopher","","Kearns","25/03/2021","20/07/2022","Appointed by academy members"
"1588393","","5476","09341374","Trustee","The Venerable Dr","Richard","David","Pratt","24/03/2022","23/03/2026","Appointed by academy members"
"1588394","","5476","09341374","Trustee","Mrs","Louise","Edele","Blake","24/03/2022","23/03/2026","Appointed by academy members"
"1589327","","5476","09341374","Trustee","Ms","Natalie","","Ruane","24/03/2022","23/03/2026","Appointed by academy members"
"1597272","","5476","09341374","Member","Venerable","Stewart","","Fyfe","18/05/2022","","Appointed by academy members"
"1007301","","5477","09290889","Member","Mr","Ian","","Miller","31/10/2014","","N/A"
"1007304","","5477","09290889","Member","Mr","Hamwic","","Trust","04/12/2015","","N/A"
"1007306","","5477","09290889","Accounting Officer","Mr","Robert","","Farmer","01/01/1900","","N/A"
"1007307","","5477","09290889","Chief Financial Officer","Mr","Sean","","Preston","01/01/1900","","N/A"
"1126176","","5477","09290889","Member","Mr","Billy","","Ansell","02/12/2016","","Appointed by foundation/Trust"
"1007309","","5478","07361021","Member","Mr","Peter","","Baxter","07/01/2015","","Original (signatory) members"
"1007313","","5478","07361021","Member","Mrs","Monica","Catherine","Carroll","01/02/2015","","Original (signatory) members"
"1120810","","5478","07361021","Chief Financial Officer","Mr","Richard","","Wheatcroft","01/02/2015","","N/A"
"1349227","","5478","07361021","Trustee","Mrs","Kimberley","Jane","Bottomley","01/02/2019","31/01/2023","Appointed by foundation/Trust"
"1362685","","5478","07361021","Trustee","Mr","Andrew","Charles","Cockayne","11/04/2019","10/04/2023","Appointed by foundation/Trust"
"1413749","","5478","07361021","Accounting Officer","Mr","Wayne","","Barsby","28/11/2019","","N/A"
"1430497","","5478","07361021","Chair of Trustees","Mrs","Kimberley","Jane","Bottomley","27/02/2020","31/08/2022","Appointed by foundation/Trust"
"1430498","","5478","07361021","Member","Mrs","Kimberley","Jane","Bottomley","27/02/2020","","Appointed by foundation/Trust"
"1439033","","5478","07361021","Trustee","Mr","Mark","Andrew","Garrison","06/04/2020","05/04/2024","Appointed by academy members"
"1439034","","5478","07361021","Trustee","Mr","William","Mark","Slocombe","06/04/2020","05/04/2024","Appointed by academy members"
"1447556","","5478","07361021","Trustee","Mr","Robert","Martin","Toms","29/06/2020","28/06/2024","Appointed by academy members"
"1492943","","5478","07361021","Trustee","Mr","Philip","Raymond","Ellis","01/01/2021","31/12/2024","Appointed by academy members"
"1520877","","5478","07361021","Trustee","Mr","Callum","James","Dixon","01/05/2021","14/04/2022","Appointed by foundation/Trust"
"1535569","","5478","07361021","Trustee","Mr","Robert","Ian","McRobbie","01/09/2021","20/04/2022","Appointed by academy members"
"1552757","","5478","07361021","Member","Mr","Stephen","","Walker","22/10/2021","","Appointed by academy members"
"1582269","","5478","07361021","Member","Mrs","Jean","","Leah","26/02/2022","","Any additional members appointed by the members of the academy trust"
"1592997","","5478","07361021","Member","Mrs","Hilary","","Massarella","20/04/2022","","Appointed by academy members"
"1615911","","5478","07361021","Trustee","Mr","Richard","","George","22/09/2022","21/09/2026","Appointed by GB/board"
"1007340","","5479","07565242","Member","Mr","Ian","","Taylor","11/12/2014","31/08/2022","Original (signatory) members"
"1282888","","5479","07565242","Trustee","Mr","Gregory","John","Slater","09/11/2017","08/11/2021","Appointed by GB/board"
"1374710","","5479","07565242","Trustee","Mr","Jason","","Knights","16/07/2019","01/11/2021","Appointed by academy members"
"1374714","","5479","07565242","Trustee","Mr","Jonathan","","Childs","16/07/2019","31/08/2022","Appointed by academy members"
"1380155","","5479","07565242","Accounting Officer","Mrs","Lisa","Marianne","Mannall","05/09/2019","","N/A"
"1407171","","5479","07565242","Member","Mr","Nick","","Warren","01/11/2019","31/12/2021","Appointed by academy members"
"1407185","","5479","07565242","Trustee","Mr","Alan (Known as Geoff)","Geoffrey","Brown","01/11/2019","31/08/2022","Appointed by academy members"
"1407191","","5479","07565242","Trustee","Mr","Ashley","Steven","Mann","01/11/2019","31/08/2022","Appointed by academy members"
"1407194","","5479","07565242","Trustee","Mr","Steven","John","Dunn","01/11/2019","31/08/2022","Appointed by academy members"
"1407197","","5479","07565242","Trustee","Mr","Sean","Michael","Dixon","01/11/2019","31/08/2022","Appointed by academy members"
"1407200","","5479","07565242","Trustee","Mr","Sebastian","","Parker","01/11/2019","31/08/2022","Appointed by academy members"
"1407203","","5479","07565242","Trustee","Mrs","Kymberley","Sarah","Pinnell (Known as O'Mara)","01/11/2019","31/08/2022","Appointed by academy members"
"1424111","","5479","07565242","Chair of Trustees","Mr","Alan (Known as Geoff)","Geoffrey","Brown","28/11/2019","27/11/2023","Appointed by academy members"
"1467907","","5479","07565242","Chief Financial Officer","Mrs","Tracy","","Cartmel","01/10/2020","","N/A"
"1497519","","5479","07565242","Trustee","","Jo","","Connolly","07/01/2021","06/01/2025","Appointed by GB/board"
"1558360","","5479","07565242","Member","Mr","David","Bryan","Folland","01/09/2021","","Appointed by academy members"
"1576157","","5479","07565242","Trustee","Mrs","Jane","","Nicholls","08/12/2021","07/12/2025","Appointed by academy members"
"1576159","","5479","07565242","Member","Mrs","Jacqueline","","Bull","08/12/2021","","Appointed by academy members"
"1622431","","5479","07565242","Member","","Kymberley","Sarah","Pinnell (Known as O'Mara)","01/09/2022","","Appointed by academy members"
"1622434","","5479","07565242","Member","Mr","Steven","John","Dunn","01/09/2022","","Appointed by academy members"
"1214740","","5480","07565088","Trustee","Mr","Douglas","Peter","Croucher","01/09/2017","31/08/2025","Appointed by academy members"
"1237646","","5480","07565088","Trustee","Mrs","Lynda","Jean","Clarke","01/10/2017","30/09/2025","Appointed by academy members"
"1257298","","5480","07565088","Trustee","Mrs","Gaynor","Stephenie","Brown","29/11/2017","25/11/2021","Appointed by GB/board"
"1306435","","5480","07565088","Trustee","Mr","Gareth","Ieuan","Morris","01/09/2018","","Ex-officio by virtue of office as headteacher/principal"
"1306442","","5480","07565088","Accounting Officer","Mr","Gareth","Ieuan","Morris","01/09/2018","","N/A"
"1313149","","5480","07565088","Member","Mrs","Debra","Sharon","Martin","03/09/2018","21/07/2022","Any additional members appointed by the members of the academy trust"
"1329191","","5480","07565088","Trustee","Mr","Bernard","Adrian","Bhukal","15/11/2018","14/11/2022","Appointed by academy members"
"1355679","","5480","07565088","Trustee","Mr","Michael","Arthur","Turvey","01/02/2019","31/01/2023","Appointed by academy members"
"1364173","","5480","07565088","Member","Mr","Douglas","Peter","Croucher","25/04/2019","25/11/2021","Appointed by academy members"
"1429805","","5480","07565088","Trustee","Mr","Gordon","Philliip","Marchant","04/02/2020","21/07/2022","Appointed by foundation/Trust"
"1429810","","5480","07565088","Trustee","Mrs","Alice","","Baumber-Copp","04/02/2020","05/01/2022","Appointed by foundation/Trust"
"1441353","","5480","07565088","Trustee","Mr","Adrian","John","Phipps","23/02/2020","21/07/2022","Appointed by foundation/Trust"
"1441363","","5480","07565088","Member","Mr","Robin","","Shonfeld","01/09/2019","21/07/2022","Any additional members appointed by the members of the academy trust"
"1502152","","5480","07565088","Chief Financial Officer","Mrs","Kathryn","","Woodhead","01/02/2022","","N/A"
"1533187","","5480","07565088","Chair of Trustees","Mrs","Lynda","Jean","Clarke","14/07/2021","12/07/2023","Appointed by academy members"
"1537153","","5480","07565088","Trustee","Dr","Helena","","McVeigh","01/09/2021","16/05/2022","Appointed by academy members"
"1546232","","5480","07565088","Shared Chair of Local Governing Body - Group","Dr","Joanne","","White","","02/09/2022","Appointed by foundation/Trust"
"1546241","","5480","07565088","Shared Local Governor - Group","","Jonathan","Andrew","Goode","","","Elected by parents"
"1546243","","5480","07565088","Shared Local Governor - Group","","Michael","","Atiako","","","Appointed by GB/board"
"1546246","","5480","07565088","Shared Local Governor - Group","Dr","Joanne","","White","","","Appointed by GB/board"
"1546248","","5480","07565088","Shared Local Governor - Group","","Peter","","Hall","","10/05/2022","Appointed by GB/board"
"1546251","","5480","07565088","Shared Local Governor - Group","","Stephanie","Jayne","Manning","","19/01/2022","Elected by school staff"
"1546253","","5480","07565088","Shared Local Governor - Group","","Jy","","Taylor","","","Ex-officio by virtue of office as headteacher/principal"
"1546254","","5480","07565088","Shared Local Governor - Group","","Richard","Thomas","Haddow","","","Elected by school staff"
"1546256","","5480","07565088","Shared Local Governor - Group","","Donovan","","Lynaghan","","","Elected by parents"
"1546275","","5480","07565088","Shared Local Governor - Group","","Martin","James","Wassell","","","Appointed by foundation/Trust"
"1546485","","5480","07565088","Shared Local Governor - Group","","Jenny","","Erwin","","","Elected by parents"
"1563473","","5480","07565088","Member","Mr","Ian","Jackson","Sibley","25/11/2021","","Appointed by academy members"
"1563477","","5480","07565088","Member","Mr","Ian","","Fretten","25/11/2021","","Appointed by academy members"
"1563487","","5480","07565088","Member","Mr","Morné","","Smit","25/11/2021","","Appointed by academy members"
"1563539","","5480","07565088","Trustee","","Gaynor","Stephenie","Brown","25/11/2021","24/11/2025","Appointed by academy members"
"1567638","","5480","07565088","Trustee","Mr","Benjamin","Allan","Emm","13/12/2021","12/12/2025","Appointed by GB/board"
"1589186","","5480","07565088","Trustee","Miss","Joanne","","Chandler","21/03/2022","14/07/2022","Appointed by academy members"
"1589205","","5480","07565088","Member","Mrs","Gayle","","Upshon-Ellison","21/03/2022","","Appointed by academy members"
"1589730","","5480","07565088","Trustee","Mr","James","","Hannam","29/03/2022","28/03/2026","Appointed by GB/board"
"1589893","","5480","07565088","Trustee","Mrs","Laura","Emily Jayne","Ellener","29/03/2022","28/03/2026","Appointed by GB/board"
"1589919","","5480","07565088","Trustee","Mr","Adam","Kenneth Bingham","Scott","29/03/2022","28/03/2026","Appointed by GB/board"
"1609150","","5480","07565088","Shared Chair of Local Governing Body - Group","Dr","Joanne","","White","","","Appointed by foundation/Trust"
"1612681","","5480","07565088","Member","Mr","Gordon","","Marchant","15/09/2022","","Appointed by academy members"
"1007357","","5481","07652902","Chief Financial Officer","Mrs","Claire","","Booth","01/07/2011","","N/A"
"1007359","","5481","07652902","Accounting Officer","Sir","Andrew","","Carter","01/07/2011","","N/A"
"1007360","","5481","07652902","Trustee","Mr","Charles","","Lennard","31/05/2011","30/05/2023","Appointed by academy members"
"1007361","","5481","07652902","Member","Mr","Charles","","Lennard","31/05/2011","","Original (signatory) members"
"1007362","","5481","07652902","Member","Mrs","Linda","","Ross","31/05/2011","","Original (signatory) members"
"1007363","","5481","07652902","Chair of Trustees","Mrs","Linda","","Ross","31/05/2011","30/05/2023","Appointed by academy members"
"1104888","","5481","07652902","Member","Mr","Francis","","Bodenham","17/11/2016","","Appointed by academy members"
"1110090","","5481","07652902","Member","Mrs","Georgia","","Knights","21/11/2016","","Appointed by academy members"
"1125712","","5481","07652902","Member","Miss","Jilly","","Steventon","21/11/2016","04/01/2022","Appointed by academy members"
"1207085","","5481","07652902","Trustee","Mrs","Claire","","Handley","01/07/2017","30/06/2025","Appointed by academy members"
"1347181","","5481","07652902","Trustee","Mrs","Susan","","Shoveller","04/02/2019","03/02/2023","Appointed by academy members"
"1399886","","5481","07652902","Trustee","Mrs","Sally","","Patterson","01/10/2019","30/09/2023","Appointed by academy members"
"1418789","","5481","07652902","Trustee","Mr","Ateeq","Ahmad","Abid","06/01/2020","05/01/2024","Appointed by academy members"
"1488408","","5481","07652902","Trustee","Mrs","Alexandra","","Chester","04/10/2020","03/10/2024","Appointed by academy members"
"1488409","","5481","07652902","Trustee","Ms","George","","Kendall","16/11/2020","15/11/2024","Appointed by academy members"
"1493458","","5481","07652902","Trustee","Sir","Andrew","Nicholas","Carter","01/01/2021","31/12/2024","Appointed by academy members"
"1581052","","5481","07652902","Member","Professor","Samantha","","Twiselton","08/02/2022","","Appointed by academy members"
"1602893","","5481","07652902","Trustee","Mr","Keith","","Boyce","04/07/2022","03/07/2026","Appointed by foundation/Trust"
"1007364","","5482","07796938","Trustee","Mr","David","","Trood","30/09/2011","","N/A"
"1007365","","5482","07796938","Member","Mr","Peter","","Davies","04/10/2011","","N/A"
"1007372","","5482","07796938","Chair of Trustees","Mr","Peter","","Davies","01/02/2015","","N/A"
"1007376","","5482","07796938","Member","Mrs","Pamela","","Nash","01/07/2015","","N/A"
"1311591","","5482","07796938","Accounting Officer","Dr","Martina","","Lecky","01/09/2018","","N/A"
"1311598","","5482","07796938","Trustee","Councillor","Edward","","Lavery","01/09/2018","31/08/2022","Appointed by academy members"
"1311602","","5482","07796938","Trustee","Ms","Pauline","","Nixon","01/09/2018","31/08/2022","Appointed by academy members"
"1311605","","5482","07796938","Trustee","Mr","Andrew","","Sykes","01/09/2018","31/08/2022","Appointed by academy members"
"1355608","","5482","07796938","Chief Financial Officer","","Anita","","Evans","01/02/2019","","N/A"
"1386002","","5482","07796938","Trustee","Mr","Kim","David","Rowe","01/09/2019","31/08/2023","Appointed by academy members"
"1440255","","5482","07796938","Trustee","Mrs","Satwinder","","Saraon","12/02/2020","31/08/2022","Appointed by GB/board"
"1440257","","5482","07796938","Trustee","Mr","David","","Collins","01/01/2020","31/12/2024","Appointed by GB/board"
"1440264","","5482","07796938","Trustee","Dr","Martina","","Lecky","01/09/2018","31/08/2022","Appointed by academy members"
"1470591","","5482","07796938","Member","Dr","Carolyn","","Crouchman","15/06/2020","","Appointed by academy members"
"1470592","","5482","07796938","Member","Dr","Heather","","Danpure","15/06/2020","","Appointed by academy members"
"1470593","","5482","07796938","Member","Councillor","David","","Yarrow","15/06/2020","","Appointed by academy members"
"1537877","","5482","07796938","Member","Dr","Harshinder","Kaur","Malhi","01/09/2021","","Appointed by academy members"
"1625600","","5482","07796938","Trustee","Mr","Andy","","Sykes","01/09/2022","31/08/2026","Appointed by academy members"
"1171832","","5483","07867334","Member","Mr","Liam","James","Harrison","01/03/2012","13/07/2022","Foundation/sponsor members"
"1171837","","5483","07867334","Member","Mr","Patrick","Joseph","Fealey","01/12/2011","13/07/2022","Foundation/sponsor members"
"1327510","","5483","07867334","Trustee","Mrs","Caroline","","Conquest","15/11/2021","14/11/2025","Appointed by foundation/Trust"
"1361983","","5483","07867334","Accounting Officer","Mrs","Sarah","","Mitchell","25/04/2022","","N/A"
"1364238","","5483","07867334","Member","Mr","Stephen","Roy","Townsend","15/05/2019","13/07/2022","Appointed by academy members"
"1364398","","5483","07867334","Member","Mr","Dean","Edward","Jones","15/05/2019","","Appointed by academy members"
"1456997","","5483","07867334","Chief Financial Officer","Mrs","Jacqueline","","McCamphill","06/07/2020","31/07/2022","N/A"
"1491499","","5483","07867334","Trustee","Mr","Ray","","Powell","07/10/2020","06/10/2024","Appointed by academy members"
"1491739","","5483","07867334","Trustee","Mr","Patrick","Joseph","Fealey","15/11/2021","14/11/2025","Appointed by foundation/Trust"
"1492030","","5483","07867334","Trustee","Mrs","Jane","Louise","Horridge","07/10/2020","08/06/2022","Appointed by academy members"
"1492488","","5483","07867334","Trustee","Mrs","Sarah","Anne","Conant","04/03/2019","18/04/2022","Appointed by academy members"
"1566556","","5483","07867334","Chair of Trustees","Mr","Liam","","Harrison","15/11/2021","14/11/2025","Appointed by GB/board"
"1566787","","5483","07867334","Trustee","Mr","Chris","","Jukes","19/05/2021","18/05/2025","Appointed by GB/board"
"1592101","","5483","07867334","Trustee","Mrs","Sarah","","Mitchell","25/04/2022","24/04/2026","Appointed by academy members"
"1607135","","5483","07867334","Chief Financial Officer","Mrs","Michele","","Lavelle","01/08/2022","","N/A"
"1607337","","5483","07867334","Trustee","Mr","Stephen","Roy","Townsend","13/07/2022","12/07/2026","Appointed by GB/board"
"1607441","","5483","07867334","Member","Mrs","Grishma","","Sutaria-Cassidy","13/07/2022","","Appointed by GB/board"
"1607442","","5483","07867334","Member","Ms","Antonia","","Spinks","13/07/2022","","Appointed by GB/board"
"1625880","","5483","07867334","Trustee","Dr","Tanya","","Richardson","19/10/2022","18/10/2026","Appointed by GB/board"
"1007386","","5485","08339345","Accounting Officer","Mr","Roger","","Leighton","10/12/2013","","N/A"
"1132382","","5485","08339345","Chief Financial Officer","Mr","Lee","","Medlock","01/11/2016","","N/A"
"1132386","","5485","08339345","Trustee","Mr","Roger","John","Leighton","01/12/2014","","Ex-officio by virtue of office as headteacher/principal"
"1132387","","5485","08339345","Trustee","","Alan","Christopher","Lazell","02/09/2021","01/09/2025","Appointed by academy members"
"1134779","","5485","08339345","Member","Ms","Heather","","Flint","01/05/2016","","Appointed by academy members"
"1203812","","5485","08339345","Member","Mr","David","","Reedy","09/01/2017","","Appointed by academy members"
"1409589","","5485","08339345","Member","","Saadat","Ahmad","Mubashar","18/03/2019","","Appointed by academy members"
"1409593","","5485","08339345","Member","","Jenna","","Plush","18/03/2019","","Appointed by academy members"
"1465395","","5485","08339345","Trustee","Ms","Li Li","","Long","11/05/2020","21/05/2024","Appointed by academy members"
"1465396","","5485","08339345","Trustee","Mr","Alex","","Cameron","11/05/2020","21/05/2024","Appointed by academy members"
"1465397","","5485","08339345","Shared Chair of Local Governing Body - Group","Ms","Jacqui","","Barnard","","","Appointed by foundation/Trust"
"1465400","","5485","08339345","Shared Local Governor - Group","Ms","Gillian","","Bratley","","","Appointed by foundation/Trust"
"1465401","","5485","08339345","Shared Local Governor - Group","Ms","Huma","","Raza","","","Appointed by foundation/Trust"
"1465402","","5485","08339345","Shared Local Governor - Group","Ms","Sarah","","Kinnaird","","","Appointed by foundation/Trust"
"1465403","","5485","08339345","Shared Local Governor - Group","Mr","Andrew","","Roberts","","","Appointed by foundation/Trust"
"1465404","","5485","08339345","Shared Local Governor - Group","Ms","Janis","","Davies","","","Appointed by foundation/Trust"
"1465405","","5485","08339345","Shared Local Governor - Group","Mr","Zaheer","","Ahmad MBE","","","Elected by parents"
"1465406","","5485","08339345","Shared Local Governor - Group","Ms","Hotonu","","Olushola","","","Elected by parents"
"1465407","","5485","08339345","Shared Local Governor - Group","Ms","Irena","","Markova","","","Elected by school staff"
"1465408","","5485","08339345","Shared Local Governor - Group","Ms","Helen","","Collier","","","Elected by school staff"
"1465409","","5485","08339345","Shared Local Governor - Group","Ms","Emily","","Kirwan","","","Elected by school staff"
"1465410","","5485","08339345","Shared Local Governor - Group","Ms","Lisa","","Shepherd","","","Ex-officio by virtue of office as headteacher/principal"
"1483032","","5485","08339345","Trustee","Ms","Deepa","","Chandrasekaran","13/05/2021","12/05/2025","Appointed by GB/board"
"1487686","","5485","08339345","Chair of Trustees","Mr","Saadat","","Mubashar","01/12/2020","30/11/2024","Appointed by academy members"
"1601585","","5485","08339345","Trustee","Mr","Peter","","McPartland OBE","09/01/2021","08/01/2025","Appointed by academy members"
"1601586","","5485","08339345","Member","Mr","Daniel","","Singleton","28/04/2021","","Appointed by academy members"
"1126703","","5486","08368756","Chief Financial Officer","","Jamie","","Butterworth","01/09/2013","","N/A"
"1217828","","5486","08368756","Trustee","Mr","Gary","","Walczak","01/01/2018","31/12/2022","Appointed by academy members"
"1292108","","5486","08368756","Chair of Trustees","Mr","Colin","","McKenzie","17/11/2021","30/11/2022","Appointed by academy members"
"1292122","","5486","08368756","Member","Revd","Rachel","","Battershell","01/05/2018","26/07/2022","Appointed by academy members"
"1358070","","5486","08368756","Trustee","Dr","Paul","","Mortimer","04/03/2019","31/12/2021","Appointed by academy members"
"1370168","","5486","08368756","Member","Mr","Ashley","","Dearnley","13/06/2019","26/07/2022","Appointed by academy members"
"1402251","","5486","08368756","Trustee","Mrs","Sharon","Elizabeth","O'Brien","05/11/2019","04/11/2023","Appointed by academy members"
"1403873","","5486","08368756","Accounting Officer","Mr","MARK","","MOORHOUSE","01/11/2019","","N/A"
"1403881","","5486","08368756","Trustee","Mr","Shakeel","","Ahmed","05/11/2019","04/11/2023","Appointed by academy members"
