URN,LA,ESTAB,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,PNUMFSMEVER
119403,888,3147,State-funded primary,52,31,21,59.6%,40.4%,2,3.8%,12,23.1%,0,52,0,0%,100%,0%,3,5,9.6%
119404,888,3168,State-funded primary,102,49,53,48.0%,52.0%,0,0%,6,5.9%,5,97,0,4.9%,95.1%,0%,21,22,21.6%
119405,888,3169,State-funded primary,75,34,41,45.3%,54.7%,0,0%,9,12.0%,1,74,0,1.3%,98.7%,0%,14,15,20.0%
119406,888,3179,State-funded primary,250,122,128,48.8%,51.2%,6,2.4%,11,4.4%,10,240,0,4.0%,96.0%,0%,66,74,29.6%
119407,888,3181,State-funded primary,129,70,59,54.3%,45.7%,4,3.1%,12,9.3%,1,128,0,0.8%,99.2%,0%,25,28,21.7%
119408,889,3183,State-funded primary,207,95,112,45.9%,54.1%,6,2.9%,34,16.4%,0,207,0,0%,100%,0%,7,7,3.4%
119409,888,3185,State-funded primary,84,45,39,53.6%,46.4%,1,1.2%,17,20.2%,0,84,0,0%,100%,0%,3,3,3.6%
119410,888,3191,State-funded primary,57,29,28,50.9%,49.1%,2,3.5%,7,12.3%,3,54,0,5.3%,94.7%,0%,21,22,38.6%
119411,890,3192,State-funded primary,378,163,215,43.1%,56.9%,6,1.6%,42,11.1%,12,366,0,3.2%,96.8%,0%,126,137,36.2%
119413,888,3195,State-funded primary,291,143,148,49.1%,50.9%,3,1.0%,21,7.2%,10,281,0,3.4%,96.6%,0%,96,99,34.0%
119414,888,3196,State-funded primary,276,125,151,45.3%,54.7%,5,1.8%,32,11.6%,5,271,0,1.8%,98.2%,0%,91,90,32.6%
119415,888,3300,State-funded primary,114,64,50,56.1%,43.9%,1,0.9%,12,10.5%,27,87,0,23.7%,76.3%,0%,4,7,6.1%
119416,888,3301,State-funded primary,248,129,119,52.0%,48.0%,1,0.4%,23,9.3%,21,227,0,8.5%,91.5%,0%,24,25,10.1%
119417,888,3302,State-funded primary,293,147,146,50.2%,49.8%,1,0.3%,7,2.4%,5,288,0,1.7%,98.3%,0%,18,18,6.1%
119418,888,3303,State-funded primary,122,60,62,49.2%,50.8%,1,0.8%,14,11.5%,1,121,0,0.8%,99.2%,0%,5,6,4.9%
119419,888,3304,State-funded primary,309,142,167,46.0%,54.0%,5,1.6%,41,13.3%,20,289,0,6.5%,93.5%,0%,55,60,19.4%
119420,888,3307,State-funded primary,209,103,106,49.3%,50.7%,5,2.4%,29,13.9%,4,205,0,1.9%,98.1%,0%,55,54,25.8%
119421,888,3308,State-funded primary,144,76,68,52.8%,47.2%,7,4.9%,14,9.7%,60,84,0,41.7%,58.3%,0%,38,42,29.2%
119423,889,3311,State-funded primary,184,84,100,45.7%,54.3%,5,2.7%,28,15.2%,3,181,0,1.6%,98.4%,0%,25,30,16.3%
119424,888,3312,State-funded primary,140,79,61,56.4%,43.6%,0,0%,12,8.6%,3,137,0,2.1%,97.9%,0%,14,17,12.1%
119425,888,3313,State-funded primary,331,156,175,47.1%,52.9%,7,2.1%,45,13.6%,7,324,0,2.1%,97.9%,0%,88,97,29.3%
119427,888,3316,State-funded primary,175,89,86,50.9%,49.1%,2,1.1%,16,9.1%,7,168,0,4.0%,96.0%,0%,47,52,29.7%
119428,888,3319,State-funded primary,127,55,72,43.3%,56.7%,1,0.8%,11,8.7%,0,127,0,0%,100%,0%,8,13,10.2%
119429,888,3321,State-funded primary,298,150,148,50.3%,49.7%,7,2.3%,27,9.1%,9,289,0,3.0%,97.0%,0%,17,18,6.0%
119430,888,3322,State-funded primary,346,162,184,46.8%,53.2%,4,1.2%,32,9.2%,152,194,0,43.9%,56.1%,0%,129,132,38.2%
119431,888,3323,State-funded primary,121,59,62,48.8%,51.2%,0,0%,7,5.8%,3,118,0,2.5%,97.5%,0%,5,7,5.8%
119432,888,3324,State-funded primary,196,98,98,50.0%,50.0%,3,1.5%,25,12.8%,0,196,0,0%,100%,0%,8,12,6.1%
119433,888,3325,State-funded primary,188,102,86,54.3%,45.7%,3,1.6%,20,10.6%,0,188,0,0%,100%,0%,20,21,11.2%
119434,888,3326,State-funded primary,201,94,107,46.8%,53.2%,1,0.5%,10,5.0%,4,197,0,2.0%,98.0%,0%,30,32,15.9%
119437,888,3330,State-funded primary,140,66,74,47.1%,52.9%,2,1.4%,17,12.1%,115,25,0,82.1%,17.9%,0%,35,37,26.4%
119438,888,3331,State-funded primary,415,194,221,46.7%,53.3%,6,1.4%,41,9.9%,132,283,0,31.8%,68.2%,0%,87,103,24.8%
119439,889,3333,State-funded primary,406,195,211,48.0%,52.0%,12,3.0%,68,16.7%,264,142,0,65.0%,35.0%,0%,108,116,28.6%
119440,888,3334,State-funded primary,205,114,91,55.6%,44.4%,1,0.5%,20,9.8%,3,202,0,1.5%,98.5%,0%,15,19,9.3%
119441,888,3336,State-funded primary,161,80,81,49.7%,50.3%,3,1.9%,16,9.9%,11,150,0,6.8%,93.2%,0%,29,33,20.5%
119442,888,3337,State-funded primary,71,30,41,42.3%,57.7%,3,4.2%,13,18.3%,3,68,0,4.2%,95.8%,0%,20,24,33.8%
119444,888,3339,State-funded primary,124,60,64,48.4%,51.6%,3,2.4%,7,5.6%,7,117,0,5.6%,94.4%,0%,2,2,1.6%
119445,888,3340,State-funded primary,204,104,100,51.0%,49.0%,2,1.0%,33,16.2%,19,185,0,9.3%,90.7%,0%,90,93,45.6%
119446,888,3342,State-funded primary,193,97,96,50.3%,49.7%,2,1.0%,29,15.0%,35,158,0,18.1%,81.9%,0%,91,97,50.3%
119447,888,3347,State-funded primary,201,93,108,46.3%,53.7%,1,0.5%,40,19.9%,7,194,0,3.5%,96.5%,0%,78,82,40.8%
119449,888,3352,State-funded primary,214,97,117,45.3%,54.7%,5,2.3%,36,16.8%,28,186,0,13.1%,86.9%,0%,39,41,19.2%
119450,888,3353,State-funded primary,187,101,86,54.0%,46.0%,6,3.2%,10,5.3%,22,165,0,11.8%,88.2%,0%,31,38,20.3%
119451,888,3355,State-funded primary,142,69,73,48.6%,51.4%,3,2.1%,12,8.5%,30,112,0,21.1%,78.9%,0%,86,93,65.5%
119452,888,3357,State-funded primary,203,93,110,45.8%,54.2%,2,1.0%,22,10.8%,119,84,0,58.6%,41.4%,0%,57,59,29.1%
119453,888,3359,State-funded primary,118,58,60,49.2%,50.8%,2,1.7%,15,12.7%,0,118,0,0%,100%,0%,20,21,17.8%
119454,888,3366,State-funded primary,170,78,92,45.9%,54.1%,1,0.6%,17,10.0%,9,161,0,5.3%,94.7%,0%,58,66,38.8%
119455,889,3373,State-funded primary,234,110,124,47.0%,53.0%,2,0.9%,34,14.5%,3,231,0,1.3%,98.7%,0%,4,5,2.1%
119458,889,3378,State-funded primary,274,134,140,48.9%,51.1%,7,2.6%,24,8.8%,17,257,0,6.2%,93.8%,0%,84,94,34.3%
119459,889,3380,State-funded primary,59,30,29,50.8%,49.2%,6,10.2%,13,22.0%,0,59,0,0%,100%,0%,9,11,18.6%
119461,888,3386,State-funded primary,112,47,65,42.0%,58.0%,0,0%,8,7.1%,0,112,0,0%,100%,0%,9,9,8.0%
119462,888,3387,State-funded primary,68,34,34,50.0%,50.0%,0,0%,7,10.3%,0,68,0,0%,100%,0%,1,2,2.9%
119463,888,3388,State-funded primary,195,98,97,50.3%,49.7%,1,0.5%,10,5.1%,1,194,0,0.5%,99.5%,0%,15,15,7.7%
119464,888,3389,State-funded primary,228,109,119,47.8%,52.2%,1,0.4%,43,18.9%,13,215,0,5.7%,94.3%,0%,100,107,46.9%
119465,888,3390,State-funded primary,213,99,114,46.5%,53.5%,0,0%,10,4.7%,3,210,0,1.4%,98.6%,0%,16,18,8.5%
119466,888,3393,State-funded primary,296,162,134,54.7%,45.3%,6,2.0%,11,3.7%,2,294,0,0.7%,99.3%,0%,15,16,5.4%
119467,888,3397,State-funded primary,243,125,118,51.4%,48.6%,3,1.2%,35,14.4%,32,211,0,13.2%,86.8%,0%,46,49,20.2%
119468,888,3401,State-funded primary,216,102,114,47.2%,52.8%,1,0.5%,21,9.7%,3,213,0,1.4%,98.6%,0%,20,24,11.1%
119469,888,3402,State-funded primary,111,54,57,48.6%,51.4%,3,2.7%,11,9.9%,3,108,0,2.7%,97.3%,0%,2,3,2.7%
119470,888,3403,State-funded primary,208,98,110,47.1%,52.9%,0,0%,26,12.5%,2,206,0,1.0%,99.0%,0%,10,11,5.3%
119472,888,3406,State-funded primary,190,91,99,47.9%,52.1%,1,0.5%,14,7.4%,1,189,0,0.5%,99.5%,0%,20,20,10.5%
119473,888,3407,State-funded primary,212,101,111,47.6%,52.4%,3,1.4%,12,5.7%,1,211,0,0.5%,99.5%,0%,11,11,5.2%
119474,888,3408,State-funded primary,43,20,23,46.5%,53.5%,1,2.3%,4,9.3%,0,43,0,0%,100%,0%,2,2,4.7%
119475,888,3409,State-funded primary,99,58,41,58.6%,41.4%,1,1.0%,1,1.0%,0,99,0,0%,100%,0%,4,4,4.0%
119476,888,3411,State-funded primary,233,94,139,40.3%,59.7%,6,2.6%,14,6.0%,5,228,0,2.1%,97.9%,0%,49,54,23.2%
119477,888,3412,State-funded primary,86,46,40,53.5%,46.5%,1,1.2%,7,8.1%,0,86,0,0%,100%,0%,0,2,2.3%
119478,888,3414,State-funded primary,241,134,107,55.6%,44.4%,6,2.5%,29,12.0%,8,233,0,3.3%,96.7%,0%,8,10,4.1%
119479,888,3419,State-funded primary,36,18,18,50.0%,50.0%,2,5.6%,9,25.0%,0,36,0,0%,100%,0%,15,14,38.9%
119480,888,3420,State-funded primary,149,82,67,55.0%,45.0%,0,0%,3,2.0%,0,149,0,0%,100%,0%,10,11,7.4%
119481,888,3424,State-funded primary,189,98,91,51.9%,48.1%,0,0%,10,5.3%,3,186,0,1.6%,98.4%,0%,24,26,13.8%
119482,888,3426,State-funded primary,118,50,68,42.4%,57.6%,2,1.7%,1,0.8%,1,117,0,0.8%,99.2%,0%,6,6,5.1%
119483,888,5206,State-funded primary,138,64,74,46.4%,53.6%,1,0.7%,6,4.3%,0,138,0,0%,100%,0%,11,13,9.4%
119484,888,3430,State-funded primary,210,116,94,55.2%,44.8%,5,2.4%,19,9.0%,130,80,0,61.9%,38.1%,0%,72,78,37.1%
119485,888,3431,State-funded primary,203,104,99,51.2%,48.8%,5,2.5%,36,17.7%,21,182,0,10.3%,89.7%,0%,109,113,55.7%
119486,888,3432,State-funded primary,211,102,109,48.3%,51.7%,2,0.9%,37,17.5%,17,193,1,8.1%,91.5%,0.5%,69,77,36.5%
119487,888,3433,State-funded primary,276,134,142,48.6%,51.4%,5,1.8%,23,8.3%,23,253,0,8.3%,91.7%,0%,77,81,29.3%
119488,888,3434,State-funded primary,209,105,104,50.2%,49.8%,3,1.4%,25,12.0%,29,180,0,13.9%,86.1%,0%,37,37,17.7%
119489,888,3435,State-funded primary,199,102,97,51.3%,48.7%,6,3.0%,31,15.6%,14,185,0,7.0%,93.0%,0%,35,36,18.1%
119492,888,3440,State-funded primary,201,104,97,51.7%,48.3%,2,1.0%,27,13.4%,5,196,0,2.5%,97.5%,0%,19,22,10.9%
119493,888,3448,State-funded primary,65,23,42,35.4%,64.6%,3,4.6%,7,10.8%,0,65,0,0%,100%,0%,8,8,12.3%
119495,888,3457,State-funded primary,207,107,100,51.7%,48.3%,1,0.5%,12,5.8%,7,200,0,3.4%,96.6%,0%,43,50,24.2%
119496,888,3459,State-funded primary,17,6,11,35.3%,64.7%,1,5.9%,6,35.3%,1,16,0,5.9%,94.1%,0%,5,5,29.4%
119497,888,3461,State-funded primary,152,62,90,40.8%,59.2%,0,0%,2,1.3%,0,152,0,0%,100%,0%,4,6,3.9%
119499,889,3465,State-funded primary,420,210,210,50.0%,50.0%,8,1.9%,97,23.1%,332,86,2,79.0%,20.5%,0.5%,127,144,34.3%
119501,889,3467,State-funded primary,212,102,110,48.1%,51.9%,8,3.8%,29,13.7%,115,97,0,54.2%,45.8%,0%,21,26,12.3%
119502,889,3468,State-funded primary,425,207,218,48.7%,51.3%,4,0.9%,80,18.8%,394,31,0,92.7%,7.3%,0%,70,73,17.2%
119503,889,3469,State-funded primary,191,92,99,48.2%,51.8%,5,2.6%,32,16.8%,23,168,0,12.0%,88.0%,0%,52,60,31.4%
119505,889,3471,State-funded primary,274,138,136,50.4%,49.6%,11,4.0%,65,23.7%,270,4,0,98.5%,1.5%,0%,70,75,27.4%
119509,888,3481,State-funded primary,118,53,65,44.9%,55.1%,3,2.5%,24,20.3%,1,117,0,0.8%,99.2%,0%,12,15,12.7%
119510,889,3500,State-funded primary,164,87,77,53.0%,47.0%,3,1.8%,27,16.5%,81,83,0,49.4%,50.6%,0%,30,39,23.8%
119511,889,3504,State-funded primary,220,109,111,49.5%,50.5%,9,4.1%,26,11.8%,142,78,0,64.5%,35.5%,0%,61,69,31.4%
119512,889,3505,State-funded primary,176,92,84,52.3%,47.7%,11,6.2%,42,23.9%,71,105,0,40.3%,59.7%,0%,48,61,34.7%
119513,889,3508,State-funded primary,205,99,106,48.3%,51.7%,3,1.5%,21,10.2%,96,104,5,46.8%,50.7%,2.4%,63,68,33.2%
119514,889,3510,State-funded primary,433,212,221,49.0%,51.0%,11,2.5%,62,14.3%,27,406,0,6.2%,93.8%,0%,77,92,21.2%
119516,889,3512,State-funded primary,223,103,120,46.2%,53.8%,7,3.1%,61,27.4%,75,148,0,33.6%,66.4%,0%,76,81,36.3%
119517,889,3514,State-funded primary,210,108,102,51.4%,48.6%,2,1.0%,17,8.1%,28,182,0,13.3%,86.7%,0%,36,41,19.5%
119518,888,3515,State-funded primary,20,8,12,40.0%,60.0%,3,15.0%,0,0%,0,20,0,0%,100%,0%,4,4,20.0%
119519,888,3516,State-funded primary,70,34,36,48.6%,51.4%,1,1.4%,5,7.1%,2,68,0,2.9%,97.1%,0%,11,15,21.4%
119521,888,3518,State-funded primary,308,153,155,49.7%,50.3%,5,1.6%,8,2.6%,6,302,0,1.9%,98.1%,0%,19,24,7.8%
119522,888,3519,State-funded primary,119,69,50,58.0%,42.0%,1,0.8%,13,10.9%,1,118,0,0.8%,99.2%,0%,25,27,22.7%
119523,888,3520,State-funded primary,93,51,42,54.8%,45.2%,1,1.1%,7,7.5%,0,93,0,0%,100%,0%,4,5,5.4%
119524,888,3521,State-funded primary,176,88,88,50.0%,50.0%,4,2.3%,11,6.2%,4,172,0,2.3%,97.7%,0%,9,9,5.1%
119525,888,3522,State-funded primary,87,37,50,42.5%,57.5%,1,1.1%,12,13.8%,0,87,0,0%,100%,0%,8,9,10.3%
119526,888,3524,State-funded primary,90,42,48,46.7%,53.3%,0,0%,5,5.6%,2,88,0,2.2%,97.8%,0%,8,8,8.9%
119527,888,3525,State-funded primary,219,112,107,51.1%,48.9%,3,1.4%,22,10.0%,9,210,0,4.1%,95.9%,0%,24,25,11.4%
119528,888,3526,State-funded primary,210,109,101,51.9%,48.1%,2,1.0%,25,11.9%,1,209,0,0.5%,99.5%,0%,19,26,12.4%
119529,888,3527,State-funded primary,240,119,121,49.6%,50.4%,1,0.4%,16,6.7%,8,232,0,3.3%,96.7%,0%,22,28,11.7%
119530,888,3528,State-funded primary,50,21,29,42.0%,58.0%,0,0%,3,6.0%,3,47,0,6.0%,94.0%,0%,4,5,10.0%
119531,888,3529,State-funded primary,56,27,29,48.2%,51.8%,0,0%,7,12.5%,0,56,0,0%,100%,0%,4,4,7.1%
119532,888,3530,State-funded primary,208,107,101,51.4%,48.6%,2,1.0%,29,13.9%,13,195,0,6.3%,93.8%,0%,26,28,13.5%
119533,888,3531,State-funded primary,224,104,120,46.4%,53.6%,2,0.9%,24,10.7%,24,200,0,10.7%,89.3%,0%,24,24,10.7%
119534,888,3533,State-funded primary,204,104,100,51.0%,49.0%,5,2.5%,33,16.2%,5,199,0,2.5%,97.5%,0%,75,83,40.7%
119535,888,3534,State-funded primary,46,30,16,65.2%,34.8%,1,2.2%,3,6.5%,0,46,0,0%,100%,0%,0,0,0%
119536,888,3535,State-funded primary,28,13,15,46.4%,53.6%,1,3.6%,6,21.4%,0,28,0,0%,100%,0%,2,2,7.1%
119537,888,3536,State-funded primary,245,131,114,53.5%,46.5%,2,0.8%,20,8.2%,5,240,0,2.0%,98.0%,0%,16,18,7.3%
119538,888,3537,State-funded primary,171,87,84,50.9%,49.1%,4,2.3%,26,15.2%,9,162,0,5.3%,94.7%,0%,59,68,39.8%
119539,888,3538,State-funded primary,173,81,92,46.8%,53.2%,2,1.2%,11,6.4%,0,173,0,0%,100%,0%,44,46,26.6%
119540,888,3539,State-funded primary,30,18,12,60.0%,40.0%,1,3.3%,1,3.3%,0,30,0,0%,100%,0%,1,1,3.3%
119541,888,3542,State-funded primary,76,30,46,39.5%,60.5%,0,0%,2,2.6%,0,76,0,0%,100%,0%,5,5,6.6%
119542,888,3543,State-funded primary,230,122,108,53.0%,47.0%,4,1.7%,19,8.3%,4,226,0,1.7%,98.3%,0%,16,18,7.8%
119543,888,3546,State-funded primary,14,9,5,64.3%,35.7%,0,0%,1,7.1%,0,14,0,0%,100%,0%,5,4,28.6%
119544,888,3548,State-funded primary,139,62,77,44.6%,55.4%,0,0%,13,9.4%,0,139,0,0%,100%,0%,10,8,5.8%
119545,888,3550,State-funded primary,26,13,13,50.0%,50.0%,0,0%,5,19.2%,2,24,0,7.7%,92.3%,0%,5,5,19.2%
119546,888,3551,State-funded primary,25,13,12,52.0%,48.0%,1,4.0%,6,24.0%,0,25,0,0%,100%,0%,2,3,12.0%
119548,888,3553,State-funded primary,198,107,91,54.0%,46.0%,0,0%,32,16.2%,2,196,0,1.0%,99.0%,0%,28,36,18.2%
119549,888,3554,State-funded primary,138,63,75,45.7%,54.3%,1,0.7%,19,13.8%,0,138,0,0%,100%,0%,21,23,16.7%
119550,888,3557,State-funded primary,186,89,97,47.8%,52.2%,3,1.6%,10,5.4%,10,176,0,5.4%,94.6%,0%,47,49,26.3%
119551,888,3562,State-funded primary,215,101,114,47.0%,53.0%,6,2.8%,37,17.2%,7,208,0,3.3%,96.7%,0%,26,28,13.0%
119552,888,3564,State-funded primary,198,98,100,49.5%,50.5%,6,3.0%,23,11.6%,10,188,0,5.1%,94.9%,0%,38,45,22.7%
119553,888,3565,State-funded primary,192,84,108,43.8%,56.2%,5,2.6%,18,9.4%,27,165,0,14.1%,85.9%,0%,36,41,21.4%
119555,888,3568,State-funded primary,108,48,60,44.4%,55.6%,0,0%,14,13.0%,0,108,0,0%,100%,0%,13,14,13.0%
119556,888,3570,State-funded primary,241,126,115,52.3%,47.7%,2,0.8%,25,10.4%,0,241,0,0%,100%,0%,29,32,13.3%
119557,888,3571,State-funded primary,199,97,102,48.7%,51.3%,1,0.5%,14,7.0%,3,196,0,1.5%,98.5%,0%,8,9,4.5%
119558,888,3572,State-funded primary,119,59,60,49.6%,50.4%,6,5.0%,25,21.0%,0,119,0,0%,100%,0%,24,27,22.7%
119559,888,3573,State-funded primary,155,89,66,57.4%,42.6%,6,3.9%,10,6.5%,5,150,0,3.2%,96.8%,0%,14,14,9.0%
119560,888,3574,State-funded primary,104,49,55,47.1%,52.9%,1,1.0%,14,13.5%,0,104,0,0%,100%,0%,1,1,1.0%
119561,888,3575,State-funded primary,51,24,27,47.1%,52.9%,3,5.9%,5,9.8%,0,51,0,0%,100%,0%,7,7,13.7%
119562,888,3577,State-funded primary,189,86,103,45.5%,54.5%,1,0.5%,14,7.4%,15,174,0,7.9%,92.1%,0%,6,7,3.7%
119563,888,3578,State-funded primary,285,141,144,49.5%,50.5%,7,2.5%,23,8.1%,13,272,0,4.6%,95.4%,0%,6,7,2.5%
119564,888,3579,State-funded primary,190,101,89,53.2%,46.8%,1,0.5%,11,5.8%,1,189,0,0.5%,99.5%,0%,6,9,4.7%
119565,888,3580,State-funded primary,211,96,115,45.5%,54.5%,4,1.9%,15,7.1%,3,208,0,1.4%,98.6%,0%,12,12,5.7%
119566,888,3581,State-funded primary,218,104,114,47.7%,52.3%,4,1.8%,6,2.8%,13,205,0,6.0%,94.0%,0%,33,31,14.2%
119567,888,3582,State-funded primary,138,59,79,42.8%,57.2%,1,0.7%,15,10.9%,5,133,0,3.6%,96.4%,0%,27,28,20.3%
119568,888,3583,State-funded primary,170,102,68,60.0%,40.0%,2,1.2%,26,15.3%,1,169,0,0.6%,99.4%,0%,30,33,19.4%
119569,888,3585,State-funded primary,211,108,103,51.2%,48.8%,1,0.5%,12,5.7%,0,211,0,0%,100%,0%,13,13,6.2%
119570,888,3586,State-funded primary,104,52,52,50.0%,50.0%,0,0%,10,9.6%,2,102,0,1.9%,98.1%,0%,8,8,7.7%
119571,888,3589,State-funded primary,65,34,31,52.3%,47.7%,1,1.5%,4,6.2%,0,65,0,0%,100%,0%,4,5,7.7%
119572,888,3590,State-funded primary,73,29,44,39.7%,60.3%,1,1.4%,2,2.7%,0,73,0,0%,100%,0%,6,6,8.2%
119573,888,3591,State-funded primary,192,92,100,47.9%,52.1%,3,1.6%,30,15.6%,4,188,0,2.1%,97.9%,0%,16,17,8.9%
119574,888,3592,State-funded primary,77,41,36,53.2%,46.8%,3,3.9%,11,14.3%,0,77,0,0%,100%,0%,12,13,16.9%
119575,888,3596,State-funded primary,276,149,127,54.0%,46.0%,3,1.1%,32,11.6%,7,269,0,2.5%,97.5%,0%,23,25,9.1%
119576,888,3597,State-funded primary,103,47,56,45.6%,54.4%,2,1.9%,7,6.8%,1,102,0,1.0%,99.0%,0%,6,7,6.8%
119577,888,3599,State-funded primary,65,25,40,38.5%,61.5%,2,3.1%,1,1.5%,0,65,0,0%,100%,0%,2,2,3.1%
119578,888,3600,State-funded primary,192,93,99,48.4%,51.6%,1,0.5%,17,8.9%,15,177,0,7.8%,92.2%,0%,48,49,25.5%
119579,888,3601,State-funded primary,212,100,112,47.2%,52.8%,3,1.4%,11,5.2%,11,201,0,5.2%,94.8%,0%,10,14,6.6%
119583,888,3605,State-funded primary,201,105,96,52.2%,47.8%,6,3.0%,57,28.4%,10,191,0,5.0%,95.0%,0%,72,76,37.8%
119584,888,3607,State-funded primary,214,102,112,47.7%,52.3%,3,1.4%,15,7.0%,32,182,0,15.0%,85.0%,0%,14,14,6.5%
119585,888,3608,State-funded primary,225,118,107,52.4%,47.6%,3,1.3%,26,11.6%,19,206,0,8.4%,91.6%,0%,15,18,8.0%
119586,888,3610,State-funded primary,187,82,105,43.9%,56.1%,1,0.5%,56,29.9%,47,140,0,25.1%,74.9%,0%,71,76,40.6%
119587,888,3611,State-funded primary,254,122,132,48.0%,52.0%,2,0.8%,2,0.8%,57,197,0,22.4%,77.6%,0%,18,18,7.1%
119588,888,3614,State-funded primary,185,98,87,53.0%,47.0%,5,2.7%,5,2.7%,15,170,0,8.1%,91.9%,0%,22,24,13.0%
119589,888,3615,State-funded primary,170,101,69,59.4%,40.6%,2,1.2%,19,11.2%,15,155,0,8.8%,91.2%,0%,12,15,8.8%
119590,888,3616,State-funded primary,128,65,63,50.8%,49.2%,1,0.8%,17,13.3%,6,122,0,4.7%,95.3%,0%,16,17,13.3%
119592,888,3618,State-funded primary,90,45,45,50.0%,50.0%,1,1.1%,9,10.0%,15,75,0,16.7%,83.3%,0%,36,37,41.1%
119594,890,3620,State-funded primary,403,190,213,47.1%,52.9%,3,0.7%,36,8.9%,8,395,0,2.0%,98.0%,0%,56,66,16.4%
119595,890,3621,State-funded primary,207,100,107,48.3%,51.7%,5,2.4%,47,22.7%,28,179,0,13.5%,86.5%,0%,99,104,50.2%
119596,890,3622,State-funded primary,198,110,88,55.6%,44.4%,5,2.5%,26,13.1%,8,190,0,4.0%,96.0%,0%,16,17,8.6%
119598,890,3624,State-funded primary,448,232,216,51.8%,48.2%,6,1.3%,70,15.6%,60,388,0,13.4%,86.6%,0%,94,100,22.3%
119599,890,3626,State-funded primary,210,111,99,52.9%,47.1%,6,2.9%,19,9.0%,58,152,0,27.6%,72.4%,0%,34,41,19.5%
119600,890,3629,State-funded primary,211,118,93,55.9%,44.1%,2,0.9%,30,14.2%,53,158,0,25.1%,74.9%,0%,40,47,22.3%
119602,888,3634,State-funded primary,421,218,203,51.8%,48.2%,4,1.0%,29,6.9%,10,411,0,2.4%,97.6%,0%,53,60,14.3%
119603,888,3636,State-funded primary,428,228,200,53.3%,46.7%,12,2.8%,54,12.6%,248,180,0,57.9%,42.1%,0%,114,122,28.5%
119604,888,3638,State-funded primary,378,170,208,45.0%,55.0%,2,0.5%,40,10.6%,66,312,0,17.5%,82.5%,0%,123,137,36.2%
119605,888,3639,State-funded primary,220,102,118,46.4%,53.6%,3,1.4%,8,3.6%,98,122,0,44.5%,55.5%,0%,54,58,26.4%
119606,888,3642,State-funded primary,186,89,97,47.8%,52.2%,0,0%,38,20.4%,53,133,0,28.5%,71.5%,0%,68,73,39.2%
119607,888,3643,State-funded primary,266,119,147,44.7%,55.3%,0,0%,44,16.5%,114,152,0,42.9%,57.1%,0%,81,84,31.6%
119608,888,3645,State-funded primary,209,108,101,51.7%,48.3%,1,0.5%,21,10.0%,46,163,0,22.0%,78.0%,0%,71,74,35.4%
119609,888,3646,State-funded primary,210,100,110,47.6%,52.4%,6,2.9%,18,8.6%,82,128,0,39.0%,61.0%,0%,40,40,19.0%
119610,888,3647,State-funded primary,166,83,83,50.0%,50.0%,4,2.4%,14,8.4%,84,81,1,50.6%,48.8%,0.6%,34,39,23.5%
119611,888,3653,State-funded primary,167,97,70,58.1%,41.9%,0,0%,18,10.8%,58,99,10,34.7%,59.3%,6.0%,41,43,25.7%
119612,888,3666,State-funded primary,190,117,73,61.6%,38.4%,3,1.6%,27,14.2%,1,189,0,0.5%,99.5%,0%,24,24,12.6%
119613,888,3668,State-funded primary,53,35,18,66.0%,34.0%,0,0%,2,3.8%,0,53,0,0%,100%,0%,5,5,9.4%
119614,888,3670,State-funded primary,137,64,73,46.7%,53.3%,2,1.5%,19,13.9%,0,137,0,0%,100%,0%,3,5,3.6%
119615,889,3675,State-funded primary,220,109,111,49.5%,50.5%,26,11.8%,39,17.7%,9,211,0,4.1%,95.9%,0%,62,76,34.5%
119616,888,3677,State-funded primary,238,116,122,48.7%,51.3%,1,0.4%,21,8.8%,50,188,0,21.0%,79.0%,0%,108,115,48.3%
119617,888,3702,State-funded primary,124,65,59,52.4%,47.6%,1,0.8%,5,4.0%,1,123,0,0.8%,99.2%,0%,9,10,8.1%
119618,888,3703,State-funded primary,84,46,38,54.8%,45.2%,3,3.6%,16,19.0%,1,83,0,1.2%,98.8%,0%,24,28,33.3%
119619,888,3704,State-funded primary,41,21,20,51.2%,48.8%,2,4.9%,3,7.3%,1,40,0,2.4%,97.6%,0%,3,3,7.3%
119620,888,3705,State-funded primary,185,88,97,47.6%,52.4%,4,2.2%,37,20.0%,29,156,0,15.7%,84.3%,0%,106,111,60.0%
119621,888,3706,State-funded primary,202,106,96,52.5%,47.5%,4,2.0%,19,9.4%,59,142,1,29.2%,70.3%,0.5%,67,67,33.2%
119622,888,3707,State-funded primary,178,103,75,57.9%,42.1%,5,2.8%,23,12.9%,24,154,0,13.5%,86.5%,0%,61,64,36.0%
119623,888,3709,State-funded primary,161,86,75,53.4%,46.6%,2,1.2%,22,13.7%,14,147,0,8.7%,91.3%,0%,80,83,51.6%
119624,888,3711,State-funded primary,223,114,109,51.1%,48.9%,3,1.3%,40,17.9%,2,221,0,0.9%,99.1%,0%,60,64,28.7%
119625,888,3712,State-funded primary,36,17,19,47.2%,52.8%,0,0%,7,19.4%,0,36,0,0%,100%,0%,4,4,11.1%
