RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,881,5457,137975,Helena Romanes School and Sixth Form Centre,Academy - Converter Mainstream,0,0,,5,-22,77,42%,3%,36%,6%,4%,0%,3%,77,42%,-22,5,0,0%,NA,NA,0,0%,NA,NA,43%,0%,43%,14%,0%,0%,0%
1,881,5458,137058,St Mark's West Essex Catholic School,Academy - Converter Mainstream,0,0,,3,9,77,74%,0%,71%,13%,12%,0%,3%,77,74%,9,3,0,0%,NA,NA,0,0%,NA,NA,89%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,881,5461,138834,Brentwood Ursuline Convent High School,Academy - Converter Mainstream,0,0,,3,-3,130,68%,3%,64%,20%,18%,1%,1%,130,68%,-3,3,0,0%,NA,NA,0,0%,NA,NA,93%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,881,5463,137240,The Sandon School,Academy - Converter Mainstream,0,0,,3,-7,99,70%,6%,64%,20%,18%,0%,0%,99,70%,-7,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,67%,11%,11%,0%,0%
1,881,5467,137877,Shenfield High School,Academy - Converter Mainstream,0,0,,5,-22,179,48%,2%,46%,9%,6%,0%,0%,179,48%,-22,5,0,0%,NA,NA,0,0%,NA,NA,50%,0%,50%,10%,10%,0%,0%
1,881,5468,136861,The Billericay School,Academy - Converter Mainstream,0,0,,4,-16,123,56%,9%,46%,16%,13%,2%,2%,119,56%,-17,4,4,SUPP,SUPP,SUPP,0,0%,NA,NA,70%,SUPP,50%,0%,0%,0%,SUPP
1,881,6905,135651,New Rickstones Academy,Academy - Sponsor Led Mainstream,0,0,,5,-50,16,13%,0%,13%,0%,0%,0%,0%,16,13%,-50,5,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,881,6906,135652,Greensward Academy,Academy - Sponsor Led Mainstream,0,0,,4,-12,97,58%,3%,54%,8%,4%,0%,1%,97,58%,-12,4,0,0%,NA,NA,0,0%,NA,NA,29%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,881,6907,135653,Maltings Academy,Academy - Sponsor Led Mainstream,0,0,,5,-31,66,32%,2%,30%,2%,0%,0%,0%,66,32%,-31,5,0,0%,NA,NA,0,0%,NA,NA,23%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,881,6909,135897,The Basildon Upper Academy,Academy - Sponsor Led Mainstream,0,0,,5,-22,62,34%,2%,32%,10%,8%,2%,0%,60,35%,-22,5,1,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,31%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,881,6910,135957,Clacton Coastal Academy,Academy - Sponsor Led Mainstream,0,0,,5,-26,92,29%,3%,25%,1%,2%,0%,1%,86,30%,-26,5,0,0%,NA,NA,6,17%,-22,3,30%,SUPP,25%,SUPP,SUPP,0%,SUPP
1,881,8006,130674,Colchester Institute,Further Education Sector Institution,0,0,,4,-9,648,37%,2%,33%,1%,SP,0%,2%,31,48%,-8,3,91,38%,-3,3,526,36%,-10,4,37%,1%,34%,0%,0%,0%,2%
1,881,8016,130676,Harlow College,Further Education Sector Institution,0,0,,4,-9,483,41%,2%,36%,2%,1%,0%,3%,86,59%,-12,4,23,22%,-22,4,374,38%,-8,4,40%,0%,37%,2%,0%,0%,3%
1,881,8025,130679,Chelmsford College,Further Education Sector Institution,0,0,,4,-8,358,36%,3%,30%,1%,1%,0%,3%,2,SUPP,SUPP,SUPP,20,10%,-32,4,336,38%,-6,3,30%,0%,30%,0%,0%,0%,0%
1,881,8600,130680,The Sixth Form College Colchester,Further Education Sector Institution,0,0,,4,-6,1335,66%,2%,63%,17%,15%,SP,1%,1335,66%,-6,4,0,0%,NA,NA,0,0%,NA,NA,60%,1%,59%,11%,10%,1%,0%
1,881,8601,130681,USP College,Further Education Sector Institution,0,0,,4,-10,1283,48%,2%,44%,4%,3%,SP,2%,691,54%,-15,4,31,42%,0,3,561,41%,-3,3,46%,0%,45%,5%,4%,0%,1%
LA,881,,,,,,,,NA,-8,9254,58%,3%,54%,15%,12%,1%,1%,7081,64%,-8,NA,268,34%,-8,NA,1905,37%,-8,NA,59%,3%,55%,16%,14%,1%,1%
1,919,4000,117499,The Priory School,Foundation School,0,0,,3,-1,68,74%,0%,74%,26%,22%,0%,0%,67,75%,-1,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,67%,0%,67%,33%,33%,0%,0%
1,919,4001,138747,Hertswood Academy,Academy - Converter Mainstream,0,0,,3,6,86,76%,1%,73%,13%,10%,1%,1%,86,76%,6,3,0,0%,NA,NA,0,0%,NA,NA,83%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4003,138582,Samuel Ryder Academy,Academy - Sponsor Led Mainstream,0,0,,3,17,16,81%,0%,81%,6%,6%,0%,0%,16,81%,17,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4004,139416,The Elstree UTC,Free School - UTC ,0,0,,4,-10,93,51%,1%,46%,6%,3%,1%,3%,84,54%,-8,3,4,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,31%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,919,4005,117500,The Hemel Hempstead School,Foundation School,0,0,,3,1,102,75%,3%,68%,17%,14%,0%,4%,102,75%,1,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,71%,14%,14%,0%,0%
1,919,4006,139873,Richard Hale School,Academy - Converter Mainstream,0,0,,3,-6,144,68%,3%,63%,23%,22%,1%,1%,133,71%,-5,3,0,0%,NA,NA,11,27%,-18,3,43%,0%,43%,14%,14%,0%,0%
1,919,4008,139154,Hitchin Boys' School,Academy - Converter Mainstream,0,0,,3,7,123,85%,2%,82%,38%,37%,3%,1%,123,85%,7,3,0,0%,NA,NA,0,0%,NA,NA,50%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4009,137288,Hitchin Girls' School,Academy - Converter Mainstream,0,0,,2,10,127,90%,1%,87%,29%,28%,2%,2%,127,90%,10,2,0,0%,NA,NA,0,0%,NA,NA,71%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,919,4010,117504,Fearnhill School,Foundation School,0,0,,3,-1,45,64%,0%,60%,4%,4%,0%,4%,45,64%,-1,3,0,0%,NA,NA,0,0%,NA,NA,56%,0%,56%,0%,0%,0%,0%
1,919,4011,137038,Verulam School,Academy - Converter Mainstream,0,0,,3,7,123,82%,4%,77%,31%,23%,2%,1%,123,82%,7,3,0,0%,NA,NA,0,0%,NA,NA,88%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4013,137985,Presdales School,Academy - Converter Mainstream,0,0,,3,2,115,81%,3%,74%,31%,30%,3%,3%,115,81%,2,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4014,137847,Stanborough School,Academy - Converter Mainstream,0,0,,3,-2,78,71%,1%,67%,19%,18%,3%,3%,78,71%,-2,3,0,0%,NA,NA,0,0%,NA,NA,78%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,919,4016,136608,The Knights Templar School,Academy - Converter Mainstream,0,0,,3,-1,146,68%,1%,66%,17%,12%,0%,2%,118,73%,-1,3,0,0%,NA,NA,28,50%,-2,3,63%,SUPP,56%,6%,6%,0%,SUPP
1,919,4017,140037,The Thomas Alleyne School,Academy - Sponsor Led Mainstream,0,0,,1,23,30,90%,10%,77%,0%,0%,0%,3%,30,90%,23,1,0,0%,NA,NA,0,0%,NA,NA,100%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4021,141004,The Watford UTC,Free School - UTC ,0,0,,3,4,41,59%,0%,56%,5%,2%,0%,2%,24,71%,9,3,0,0%,NA,NA,17,41%,-2,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4022,142051,Haileybury Turnford,Academy - Sponsor Led Mainstream,0,0,,5,-27,63,33%,2%,32%,3%,3%,2%,0%,55,35%,-29,5,7,29%,-9,3,1,SUPP,SUPP,SUPP,23%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,919,4024,143131,Robert Barclay Academy,Academy - Sponsor Led Mainstream,0,0,,5,-22,52,42%,2%,40%,8%,6%,0%,0%,51,43%,-21,4,0,0%,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4028,137270,Sir John Lawes School,Academy - Converter Mainstream,0,0,,2,11,125,90%,1%,89%,41%,35%,2%,1%,125,90%,11,2,0,0%,NA,NA,0,0%,NA,NA,88%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4043,138286,Beaumont School,Academy - Converter Mainstream,0,0,,2,9,152,88%,4%,84%,38%,36%,1%,0%,148,88%,8,2,4,SUPP,SUPP,SUPP,0,0%,NA,NA,78%,0%,78%,22%,22%,0%,0%
1,919,4066,117518,Barnwell School,Foundation School,0,0,,3,-3,75,60%,4%,55%,4%,5%,0%,1%,59,63%,-3,3,16,50%,-1,3,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4067,140294,Simon Balle All-Through School,Academy - Converter Mainstream,0,0,,4,-8,150,63%,3%,56%,21%,19%,1%,4%,150,63%,-8,4,0,0%,NA,NA,0,0%,NA,NA,25%,0%,25%,6%,6%,SUPP,0%
1,919,4070,136973,Roundwood Park School,Academy - Converter Mainstream,0,0,,3,3,141,82%,2%,79%,37%,34%,1%,1%,141,82%,3,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4080,137110,Longdean School,Academy - Converter Mainstream,0,0,,3,-1,69,65%,1%,61%,20%,16%,0%,3%,69,65%,-1,3,0,0%,NA,NA,0,0%,NA,NA,67%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,919,4083,137339,St Albans Girls' School,Academy - Converter Mainstream,0,0,,3,9,113,91%,0%,90%,40%,36%,2%,1%,113,91%,9,2,0,0%,NA,NA,0,0%,NA,NA,70%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4096,139036,Kings Langley School,Academy - Converter Mainstream,0,0,,3,4,75,80%,3%,71%,21%,19%,0%,7%,75,80%,4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4099,137757,Bishop's Hatfield Girls' School,Academy - Converter Mainstream,0,0,,2,13,60,87%,2%,85%,23%,20%,0%,0%,60,87%,13,2,0,0%,NA,NA,0,0%,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,919,4101,136396,The Broxbourne School,Academy - Converter Mainstream,0,0,,3,-2,99,80%,5%,74%,30%,27%,2%,1%,99,80%,-2,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4104,117530,The Nobel School,Foundation School,0,0,,3,-4,163,64%,1%,62%,14%,12%,1%,1%,152,66%,-4,3,10,50%,12,3,1,SUPP,SUPP,SUPP,73%,0%,73%,27%,18%,0%,0%
1,919,4111,140049,Westfield Academy,Academy - Converter Mainstream,0,0,,3,4,54,67%,2%,63%,4%,4%,0%,2%,53,68%,5,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,75%,SUPP,67%,0%,0%,0%,SUPP
1,919,4116,117534,Marriotts School,Community School,0,0,,3,-1,123,52%,1%,50%,3%,0%,0%,2%,63,65%,0,3,0,0%,NA,NA,60,38%,-2,3,54%,SUPP,51%,2%,0%,0%,SUPP
1,919,4117,138484,The Sele School,Academy - Converter Mainstream,0,0,,3,8,12,75%,0%,67%,25%,25%,0%,8%,12,75%,8,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4118,138632,Monk's Walk School,Academy - Converter Mainstream,0,0,,3,-1,119,76%,2%,73%,24%,25%,1%,2%,119,76%,-1,3,0,0%,NA,NA,0,0%,NA,NA,38%,0%,38%,0%,0%,SUPP,0%
1,919,4122,117537,The Highfield School,Foundation School,0,0,,3,12,52,83%,0%,83%,21%,12%,2%,0%,52,83%,12,3,0,0%,NA,NA,0,0%,NA,NA,78%,0%,78%,11%,0%,SUPP,0%
1,919,4140,137656,Meridian School,Academy - Converter Mainstream,0,0,,3,-13,44,52%,5%,48%,7%,7%,0%,0%,31,65%,-7,3,0,0%,NA,NA,13,23%,-27,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4141,137002,Freman College,Academy - Converter Mainstream,0,0,,4,-9,117,66%,4%,61%,21%,18%,1%,1%,111,68%,-8,3,0,0%,NA,NA,6,17%,-30,3,57%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4197,136609,Sandringham School,Academy - Converter Mainstream,0,0,,3,5,129,85%,2%,82%,37%,35%,1%,1%,126,86%,5,3,3,SUPP,SUPP,SUPP,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4200,137637,Birchwood High School,Academy - Converter Mainstream,0,0,,4,-11,90,57%,3%,52%,16%,11%,0%,1%,83,60%,-9,3,0,0%,NA,NA,7,14%,-28,3,60%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4498,137090,The Chauncy School,Academy - Converter Mainstream,0,0,,5,-20,100,50%,3%,43%,8%,8%,0%,4%,92,54%,-18,4,8,0%,-44,4,0,0%,NA,NA,53%,5%,42%,5%,5%,0%,5%
1,919,4499,117552,The Astley Cooper School,Community School,0,0,,3,-6,11,73%,0%,73%,9%,9%,0%,0%,11,73%,-6,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4504,138352,Tring School,Academy - Converter Mainstream,0,0,,3,4,146,79%,1%,75%,28%,26%,0%,3%,146,79%,4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4606,117555,Townsend CofE School,Voluntary Aided School,0,0,,3,1,46,78%,7%,70%,24%,24%,0%,2%,46,78%,1,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4614,138356,St George's School,Academy - Converter Mainstream,0,0,,2,14,195,94%,2%,92%,53%,46%,7%,1%,195,94%,14,2,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4619,117557,John F Kennedy Catholic School,Voluntary Aided School,0,0,,3,1,75,77%,0%,76%,27%,27%,0%,1%,75,77%,1,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4620,138106,Loreto College,Academy - Converter Mainstream,0,0,,3,8,76,82%,0%,80%,38%,38%,0%,1%,76,82%,8,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4802,136922,Yavneh College,Academy - Converter Mainstream,0,0,,3,6,90,87%,2%,83%,57%,54%,1%,1%,90,87%,6,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5400,136606,Rickmansworth School,Academy - Converter Mainstream,0,0,,3,4,119,82%,2%,78%,19%,19%,0%,3%,119,82%,4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5401,136276,Watford Grammar School for Boys,Academy - Converter Mainstream,0,0,,2,8,204,95%,2%,93%,62%,61%,6%,0%,204,95%,8,2,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5403,136289,Watford Grammar School for Girls,Academy - Converter Mainstream,0,0,,3,6,209,92%,1%,91%,56%,54%,3%,0%,209,92%,6,3,0,0%,NA,NA,0,0%,NA,NA,85%,0%,85%,46%,46%,0%,0%
1,919,5404,136899,Parmiter's School,Academy - Converter Mainstream,0,0,,3,5,181,92%,2%,89%,64%,54%,7%,1%,181,92%,5,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5405,117577,The Bishop's Stortford High School,Foundation School,0,0,,3,-1,182,75%,2%,73%,30%,27%,1%,1%,172,78%,0,3,0,0%,NA,NA,10,20%,-24,3,65%,SUPP,59%,24%,24%,0%,SUPP
1,919,5406,117578,Ashlyns School,Foundation School,0,0,,3,10,82,85%,1%,83%,23%,18%,0%,1%,82,85%,10,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5407,136554,Dame Alice Owen's School,Academy - Converter Mainstream,0,0,,2,7,206,96%,0%,95%,72%,68%,11%,1%,206,96%,7,2,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5408,137872,Bushey Meads School,Academy - Converter Mainstream,0,0,,3,3,110,68%,2%,65%,13%,9%,1%,2%,104,71%,4,3,4,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,64%,SUPP,59%,5%,5%,SUPP,SUPP
1,919,5410,136877,Queens' School,Academy - Converter Mainstream,0,0,,3,3,163,77%,2%,73%,20%,15%,1%,2%,163,77%,3,3,0,0%,NA,NA,0,0%,NA,NA,74%,5%,68%,11%,5%,SUPP,0%
1,919,5411,137224,Mount Grace School,Academy - Converter Mainstream,0,0,,3,-8,47,62%,2%,57%,21%,15%,0%,2%,47,62%,-8,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5412,137938,Nicholas Breakspear Catholic School,Academy - Converter Mainstream,0,0,,2,12,70,69%,1%,67%,7%,4%,0%,0%,53,74%,11,3,0,0%,NA,NA,17,53%,14,3,58%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,919,5413,137895,The John Henry Newman Catholic School,Academy - Converter Mainstream,0,0,,2,12,172,84%,2%,79%,32%,26%,0%,3%,160,86%,12,2,1,SUPP,SUPP,SUPP,11,55%,10,3,44%,11%,22%,0%,0%,0%,11%
1,919,5414,138042,The Marlborough Science Academy,Academy - Converter Mainstream,0,0,,3,5,90,72%,0%,68%,12%,12%,0%,4%,89,73%,6,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,60%,0%,60%,10%,10%,0%,0%
1,919,5415,137532,Goffs School,Academy - Converter Mainstream,0,0,,4,-16,123,54%,3%,49%,15%,9%,0%,2%,123,54%,-16,4,0,0%,NA,NA,0,0%,NA,NA,42%,0%,37%,11%,5%,0%,5%
1,919,5416,137156,Leventhorpe,Academy - Converter Mainstream,0,0,,3,-5,152,67%,2%,63%,17%,14%,0%,2%,152,67%,-5,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,67%,11%,11%,0%,0%
1,919,5417,137922,Saint Michael's Catholic High School,Academy - Converter Mainstream,0,0,,3,8,99,80%,3%,76%,20%,16%,1%,1%,90,79%,4,3,0,0%,NA,NA,9,89%,44,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5418,137914,Saint Joan of Arc Catholic School,Academy - Converter Mainstream,0,0,,2,11,78,81%,1%,79%,14%,14%,0%,0%,76,80%,10,3,2,SUPP,SUPP,SUPP,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5419,117591,Chancellor's School,Foundation School,0,0,,3,9,93,84%,2%,78%,26%,20%,0%,3%,93,84%,9,3,0,0%,NA,NA,0,0%,NA,NA,86%,0%,86%,0%,0%,0%,0%
1,919,5420,140786,The Hertfordshire & Essex High School and Science College,Academy - Converter Mainstream,0,0,,3,0,190,81%,2%,78%,34%,27%,1%,1%,190,81%,0,3,0,0%,NA,NA,0,0%,NA,NA,83%,0%,83%,25%,25%,0%,0%
1,919,5421,136901,St Clement Danes School,Academy - Converter Mainstream,0,0,,3,0,163,85%,1%,82%,46%,40%,2%,2%,163,85%,0,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5422,117594,St Mary's Catholic School,Voluntary Aided School,0,0,,3,7,80,85%,3%,83%,33%,25%,0%,0%,80,85%,7,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5423,138360,St Mary's Church of England High School (VA),Academy - Converter Mainstream,0,0,,3,9,68,66%,0%,59%,3%,3%,0%,7%,68,66%,9,3,0,0%,NA,NA,0,0%,NA,NA,64%,0%,64%,0%,0%,0%,0%
1,919,5426,136607,The John Warner School,Academy - Converter Mainstream,0,0,,4,-14,107,55%,2%,52%,10%,8%,0%,1%,104,56%,-14,4,2,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,58%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5427,136482,Hockerill Anglo-European College,Academy - Converter Mainstream,0,0,,3,1,70,87%,0%,87%,66%,61%,3%,0%,70,87%,1,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,6905,135876,Francis Combe Academy,Academy - Sponsor Led Mainstream,0,0,,3,4,46,74%,2%,70%,7%,4%,0%,2%,46,74%,4,3,0,0%,NA,NA,0,0%,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,8019,130720,West Herts College,Further Education Sector Institution,0,0,,3,0,758,48%,2%,41%,3%,1%,0%,6%,204,54%,-5,3,39,72%,30,2,515,44%,0,3,44%,0%,35%,1%,0%,0%,9%
1,919,8020,130721,North Hertfordshire College,Further Education Sector Institution,0,0,,3,-6,282,38%,1%,31%,4%,3%,0%,6%,22,64%,4,3,2,SUPP,SUPP,SUPP,258,36%,-7,3,43%,2%,38%,3%,3%,0%,3%
1,919,8021,130722,Hertford Regional College,Further Education Sector Institution,0,0,,3,0,371,45%,1%,36%,2%,1%,0%,8%,48,29%,-24,5,27,41%,0,3,296,48%,4,3,40%,0%,36%,2%,1%,0%,4%
1,919,8022,130723,Oaklands College,Further Education Sector Institution,0,0,,4,-6,591,45%,2%,37%,3%,2%,0%,5%,237,50%,-8,4,16,38%,-3,3,338,41%,-5,3,43%,1%,39%,3%,2%,0%,3%
LA,919,,,,,,,,NA,1,9455,70%,2%,65%,23%,20%,1%,2%,7699,76%,1,NA,146,49%,7,NA,1610,42%,-2,NA,71%,2%,67%,25%,22%,1%,2%
1,926,4002,141268,Northgate High School,Academy - Converter Mainstream,0,0,,3,-5,153,64%,1%,61%,8%,7%,1%,2%,129,67%,-6,3,0,0%,NA,NA,24,50%,3,3,68%,SUPP,63%,5%,5%,SUPP,SUPP
1,926,4003,139572,Fakenham Academy Norfolk,Academy - Sponsor Led Mainstream,0,0,,3,1,58,71%,2%,67%,19%,16%,0%,2%,58,71%,1,3,0,0%,NA,NA,0,0%,NA,NA,71%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,4005,138039,Hellesdon High School,Academy - Converter Mainstream,0,0,,4,-16,80,63%,0%,63%,16%,13%,3%,0%,80,63%,-16,4,0,0%,NA,NA,0,0%,NA,NA,50%,0%,50%,25%,8%,SUPP,0%
1,926,4007,139896,Sir Isaac Newton Sixth Form Free School,Free School  16-19,0,0,,3,-2,167,78%,4%,74%,26%,20%,2%,1%,167,78%,-2,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,4013,140815,Jane Austen College,Free School - Mainstream,0,0,,3,4,29,79%,0%,79%,17%,17%,0%,0%,29,79%,4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,4014,141086,University Technical College Norfolk,Free School - UTC ,0,0,,4,-17,55,45%,11%,31%,0%,0%,0%,4%,40,55%,-16,4,15,20%,-21,3,0,0%,NA,NA,67%,0%,67%,0%,0%,0%,0%
1,926,4016,141177,King Edward VII Academy,Academy - Sponsor Led Mainstream,0,1,,3,2,80,75%,1%,73%,13%,9%,0%,1%,80,75%,2,3,0,0%,NA,NA,0,0%,NA,NA,75%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,4042,138829,Reepham High School and College,Academy - Converter Mainstream,0,0,,3,-7,106,73%,1%,72%,29%,25%,2%,0%,106,73%,-7,3,0,0%,NA,NA,0,0%,NA,NA,67%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,926,4052,140534,Attleborough Academy Norfolk,Academy - Converter Mainstream,0,0,,4,-13,58,52%,2%,47%,3%,3%,0%,3%,58,52%,-13,4,0,0%,NA,NA,0,0%,NA,NA,50%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,926,4060,137461,Wymondham High Academy,Academy - Converter Mainstream,0,0,,3,2,146,81%,1%,78%,28%,23%,2%,2%,146,81%,2,3,0,0%,NA,NA,0,0%,NA,NA,50%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,926,4065,141269,"City of Norwich School, An Ormiston Academy",Academy - Converter Mainstream,0,0,,3,-6,171,67%,1%,65%,22%,20%,2%,1%,171,67%,-6,3,0,0%,NA,NA,0,0%,NA,NA,47%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,4081,136515,Springwood High School,Academy - Converter Mainstream,0,0,,3,-1,174,74%,2%,71%,16%,11%,1%,1%,174,74%,-1,3,0,0%,NA,NA,0,0%,NA,NA,88%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,4083,143278,Thorpe St Andrew School and Sixth Form,Academy - Converter Mainstream,0,0,,4,-9,166,64%,4%,60%,17%,13%,1%,1%,154,67%,-8,4,12,33%,-17,3,0,0%,NA,NA,67%,SUPP,60%,13%,13%,0%,SUPP
1,926,4084,139487,Taverham High School,Academy - Converter Mainstream,0,0,,3,-1,71,72%,0%,70%,17%,17%,3%,1%,71,72%,-1,3,0,0%,NA,NA,0,0%,NA,NA,63%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,4089,137092,Diss High School,Academy - Converter Mainstream,0,0,,4,-16,85,56%,6%,51%,11%,8%,1%,0%,83,58%,-15,4,0,0%,NA,NA,2,SUPP,SUPP,SUPP,30%,0%,30%,0%,0%,SUPP,0%
1,926,4605,137913,"Notre Dame High School, Norwich",Academy - Converter Mainstream,0,0,,3,0,190,79%,0%,78%,31%,27%,2%,1%,190,79%,0,3,0,0%,NA,NA,0,0%,NA,NA,45%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,5400,136481,Wymondham College,Academy - Converter Mainstream,0,0,,3,1,200,80%,3%,76%,35%,28%,3%,2%,200,80%,1,3,0,0%,NA,NA,0,0%,NA,NA,83%,0%,83%,17%,0%,0%,0%
